Location/Agglomeration,Road_Pop_Lden>=55dB,Road_Pop_Lden>=60dB,Road_Pop_Lden>=65dB,Road_Pop_Lden>=70dB,Road_Pop_Lden>=75dB,Road_Pop_Lnight>=50dB,Road_Pop_Lnight>=55dB,Road_Pop_Lnight>=60dB,Road_Pop_Lnight>=65dB,Road_Pop_Lnight>=70dB,Railways_Pop_Lden>=55dB,Railways_Pop_Lden>=60dB,Railways_Pop_Lden>=65dB,Railways_Pop_Lden>=70dB,Railways_Pop_Lden>=75dB,Railways_Pop_Lnight>=50dB,Railways_Pop_Lnight>=55dB,Railways_Pop_Lnight>=60dB,Railways_Pop_Lnight>=65dB,Railways_Pop_Lnight>=70dB,Industry_Pop_Lden>=55dB,Industry_Pop_Lden>=60dB,Industry_Pop_Lden>=65dB,Industry_Pop_Lden>=70dB,Industry_Pop_Lden>=75dB,Industry_Pop_Lnight>=50dB,Industry_Pop_Lnight>=55dB,Industry_Pop_Lnight>=60dB,Industry_Pop_Lnight>=65dB,Industry_Pop_Lnight>=70dB,AgglomerationPopulation,day,night
Blackpool Urban Area,24500,16700,11100,2600,0,17600,12200,3200,0,0,3900,2000,500,0,0,3000,900,200,0,0,700,500,300,100,100,600,400,200,100,100,260000,3.725,1.748
Coventry/Bedworth,77400,26100,10200,2900,100,45100,14900,4100,100,0,6300,3400,1800,500,0,4300,2400,1100,200,0,1500,400,200,0,0,800,400,100,0,0,350000,4.325,1.663
Kingston upon Hull,18600,12000,7800,3100,100,12700,8100,3600,100,0,900,100,0,0,0,200,0,0,0,0,900,400,200,100,100,700,300,200,100,100,310000,2.245,1.649
Southport/Formby,12700,9800,5500,700,0,10200,6100,900,0,0,3200,1500,0,0,0,2000,200,0,0,0,0,0,0,0,0,0,0,0,0,0,115000,4.943,1.111
Peterborough,21500,10300,4300,900,0,11600,5000,1100,0,0,4300,2100,1400,700,200,3200,1700,900,400,0,300,100,0,0,0,200,0,0,0,0,145000,4.12,1.077
Basildon/North Benfleet,12800,6000,2300,500,0,6800,2700,600,0,0,2200,800,200,0,0,1000,300,0,0,0,0,0,0,0,0,0,0,0,0,0,105000,3.314,0.811
Teesside,37800,18000,8000,1500,0,19900,9100,1800,0,0,4000,2200,700,0,0,3000,1500,300,0,0,800,300,100,0,0,600,200,100,0,0,365000,2.86,0.7
Nuneaton Urban Area,7600,4000,2200,400,0,4800,2500,500,0,0,8100,4400,2400,1100,400,6600,3600,1900,800,200,100,0,0,0,0,100,0,0,0,0,130000,1.785,0.546
Telford Urban Area,17700,5800,1800,300,100,9200,2600,500,100,0,700,200,0,0,0,500,100,0,0,0,0,0,0,0,0,0,0,0,0,0,140000,2.403,0.507
Milton Keynes Urban Area,21300,6600,1900,200,0,10000,2900,500,0,0,4400,2400,1200,400,100,3400,1900,700,200,0,0,0,0,0,0,0,0,0,0,0,200000,1.914,0.355
Major sources (outside agglomerations),3108200,1469100,809800,295300,22300,1973500,969300,357000,33400,1800,374700,210600,106400,43800,11000,285700,155000,71800,25800,4800,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
