,,,,Longitude,Latitude
,,,,-2.368555,51.381192
,,,,-2.368555,51.381192
,,,,-2.368555,51.381192
,,,,-2.368555,51.381192
,,,,-2.368555,51.381192
,,,,-2.362753,51.38156
,,,,-2.368555,51.381192
,,,,-2.368555,51.381192
,,,,-2.368555,51.381192
,,,,-2.368555,51.381192
,,,,-2.365745,51.38013
,,,,-2.363626,51.381126
,,,,-2.363543,51.381522
,,,,-2.368555,51.381192
,,,,-2.364045,51.381466
,,,,-2.362661,51.382613
,,,,-2.368922,51.382125
,,,,-2.363305,51.382359
,,,,-2.372903,51.384073
,,,,-2.372903,51.384073
,,,,-2.372903,51.384073
,,,,-2.372903,51.384073
,,,,-2.365764,51.382513
,,,,-2.376812,51.385814
,,,,-2.369759,51.382671
,,,,-2.371114,51.384933
,,,,-2.369507,51.3834
,,,,-2.371114,51.384933
,,,,-2.372903,51.384073
,,,,-2.376812,51.385814
,,,,-2.371114,51.384933
,,,,-2.372903,51.384073
,,,,-2.370958,51.383414
,,,,-2.37642,51.38533
,,,,-2.366419,51.387277
,,,,-2.369507,51.3834
,,,,-2.37642,51.38533
,,,,-2.368086,51.387244
,,,,-2.37642,51.38533
,,,,-2.320563,51.405835
,,,,-2.317403,51.412533
,,,,-2.321796,51.4095
,,,,-2.316403,51.411331
,,,,-2.321796,51.4095
,,,,-2.319731,51.397871
,,,,-2.299572,51.399111
,,,,-2.391433,51.411779
,,,,-2.404228,51.426284
,,,,-2.430783,51.402262
,,,,-2.348527,51.415493
,,,,-2.404228,51.426284
,,,,-2.302583,51.41099
,,,,-2.320483,51.392384
,,,,-2.3292,51.393457
,,,,-2.325767,51.395777
,,,,-2.332307,51.393771
,,,,-2.3292,51.393457
,,,,-2.33935,51.352983
,,,,-2.33935,51.352983
,,,,-2.33935,51.352983
,,,,-2.33935,51.352983
,,,,-2.33935,51.352983
,,,,-2.33935,51.352983
,,,,-2.359756,51.351259
,,,,-2.313296,51.335522
,,,,-2.392687,51.37864
,,,,-2.389094,51.3768
,,,,-2.397139,51.375074
,,,,-2.392301,51.377194
,,,,-2.389094,51.3768
,,,,-2.404242,51.374105
,,,,-2.404242,51.374105
,,,,-2.404799,51.376981
,,,,-2.404242,51.374105
,,,,-2.404242,51.374105
,,,,-2.404242,51.374105
,,,,-2.403703,51.376526
,,,,-2.404242,51.374105
,,,,-2.401956,51.375525
,,,,-2.403703,51.376526
,,,,-2.407677,51.37751
,,,,-2.407677,51.37751
,,,,-2.405404,51.381987
,,,,-2.405353,51.381088
,,,,-2.407099,51.381909
,,,,-2.405404,51.381987
,,,,-2.403613,51.380995
,,,,-2.405404,51.381987
,,,,-2.401539,51.382027
,,,,-2.405404,51.381987
,,,,-2.407099,51.381909
,,,,-2.405469,51.379649
,,,,-2.403613,51.380995
,,,,-2.407099,51.381909
,,,,-2.407099,51.381909
,,,,-2.401539,51.382027
,,,,-2.401539,51.382027
,,,,-2.404029,51.379267
,,,,-2.397287,51.378895
,,,,-2.397036,51.379705
,,,,-2.402792,51.377419
,,,,-2.393546,51.379896
,,,,-2.399797,51.381647
,,,,-2.399797,51.381647
,,,,-2.397263,51.381098
,,,,-2.397263,51.381098
,,,,-2.399338,51.380128
,,,,-2.397263,51.381098
,,,,-2.397287,51.378895
,,,,-2.401168,51.382289
,,,,-2.397263,51.381098
,,,,-2.393546,51.379896
,,,,-2.395136,51.379414
,,,,-2.395136,51.379414
,,,,-2.402381,51.378059
,,,,-2.395136,51.379414
,,,,-2.395136,51.379414
,,,,-2.395136,51.379414
,,,,-2.397263,51.381098
,,,,-2.395304,51.380484
,,,,-2.330756,51.38001
,,,,-2.343547,51.388074
,,,,-2.342133,51.37959
,,,,-2.330581,51.375649
,,,,-2.330756,51.38001
,,,,-2.330581,51.375649
,,,,-2.349039,51.386484
,,,,-2.349039,51.386484
,,,,-2.349039,51.386484
,,,,-2.349039,51.386484
,,,,-2.349039,51.386484
,,,,-2.349039,51.386484
,,,,-2.349039,51.386484
,,,,-2.349039,51.386484
,,,,-2.351319,51.382063
,,,,-2.351319,51.382063
,,,,-2.349449,51.383714
,,,,-2.350543,51.380141
,,,,-2.349914,51.380547
,,,,-2.357713,51.37646
,,,,-2.357713,51.37646
,,,,-2.363886,51.377681
,,,,-2.366562,51.376342
,,,,-2.363886,51.377681
,,,,-2.363886,51.377681
,,,,-2.363441,51.37592
,,,,-2.367132,51.37581
,,,,-2.365045,51.37712
,,,,-2.367132,51.37581
,,,,-2.366562,51.376342
,,,,-2.365045,51.37712
,,,,-2.365045,51.37712
,,,,-2.347364,51.374063
,,,,-2.342743,51.363206
,,,,-2.35375,51.376813
,,,,-2.35375,51.376813
,,,,-2.35375,51.376813
,,,,-2.35375,51.376813
,,,,-2.351478,51.376577
,,,,-2.352484,51.378481
,,,,-2.35375,51.376813
,,,,-2.355232,51.380855
,,,,-2.35375,51.376813
,,,,-2.353818,51.376319
,,,,-2.35375,51.376813
,,,,-2.35375,51.376813
,,,,-2.35375,51.376813
,,,,-2.35375,51.376813
,,,,-2.353864,51.378584
,,,,-2.35375,51.376813
,,,,-2.351478,51.376577
,,,,-2.351478,51.376577
,,,,-2.351478,51.376577
,,,,-2.355232,51.380855
,,,,-2.355232,51.380855
,,,,-2.355232,51.380855
,,,,-2.355232,51.380855
,,,,-2.353818,51.376319
,,,,-2.355232,51.380855
,,,,-2.371516,51.375949
,,,,-2.369985,51.380405
,,,,-2.369749,51.375973
,,,,-2.376123,51.380628
,,,,-2.376123,51.380628
,,,,-2.373426,51.38123
,,,,-2.373426,51.38123
,,,,-2.373426,51.38123
,,,,-2.373426,51.38123
,,,,-2.369985,51.380405
,,,,-2.373426,51.38123
,,,,-2.373426,51.38123
,,,,-2.371516,51.375949
,,,,-2.374368,51.376929
,,,,-2.373426,51.38123
,,,,-2.376123,51.380628
,,,,-2.374368,51.376929
,,,,-2.381602,51.37598
,,,,-2.384554,51.378559
,,,,-2.383601,51.377969
,,,,-2.383601,51.377969
,,,,-2.390847,51.380157
,,,,-2.388191,51.378709
,,,,-2.379872,51.378764
,,,,-2.381455,51.380818
,,,,-2.381145,51.383237
,,,,-2.381455,51.380818
,,,,-2.374146,51.381408
,,,,-2.379872,51.378764
,,,,-2.379392,51.37979
,,,,-2.380551,51.380919
,,,,-2.374146,51.381408
,,,,-2.374146,51.381408
,,,,-2.388037,51.380994
,,,,-2.377592,51.381127
,,,,-2.386988,51.368957
,,,,-2.38391,51.373643
,,,,-2.378723,51.377131
,,,,-2.3777,51.378501
,,,,-2.376419,51.376473
,,,,-2.378723,51.377131
,,,,-2.377659,51.377044
,,,,-2.377659,51.377044
,,,,-2.376638,51.378576
,,,,-2.37315,51.372005
,,,,-2.373267,51.374019
,,,,-2.379877,51.372424
,,,,-2.379877,51.372424
,,,,-2.379877,51.372424
,,,,-2.371289,51.374538
,,,,-2.379877,51.372424
,,,,-2.37799,51.368312
,,,,-2.377755,51.371208
,,,,-2.379497,51.371661
,,,,-2.37683,51.370492
,,,,-2.382938,51.369132
,,,,-2.384097,51.370352
,,,,-2.382784,51.369547
