g_uk_datazone,g_uk_easting,g_uk_northing
E01024514,620720.3,136462.3
E01026813,620715.6,306081.6
E01024521,620703.2,135387.5
E01026527,620681.5,312717
E01029873,620656.8,237154.4
E01026526,620609.7,313057
E01022008,620585.1,216782.2
E01026814,620565.5,307208.6
E01024520,620469.2,136168.4
E01026501,620453.4,325403.9
E01030204,620437.4,244615.4
E01024512,620397.6,136760.3
E01026942,620392.8,295866.7
E01026858,620365.1,307879
E01030196,620346.2,242463.3
E01024086,620299.2,163167.4
E01030206,620298.9,243637.3
E01026810,620283.8,306599.9
E01024493,620221.6,137125.4
E01030207,620194.8,245877.2
E01026865,620194.1,309019.5
E01030058,620158.4,275229.5
E01024084,620106.8,158136
E01024043,620105.3,150334.7
E01026528,620021.3,312597.8
E01022035,620003.8,216433.9
E01026529,619994.7,311711.4
E01026868,619954.8,308735
E01024492,619943.9,137308.4
E01026881,619929.9,304952.7
E01026864,619925.2,310108.3
E01024096,619908.8,168124.2
E01024491,619860.3,136728.6
E01026860,619860.2,307854.2
E01024495,619848.8,136270.1
E01029967,619847.2,243395.5
E01024519,619781.8,135312.2
E01026534,619772.9,320934.6
E01026938,619765.4,292881.4
E01026503,619687.3,327236.3
E01029965,619658.6,244300.7
E01022033,619623.6,216776.1
E01029993,619573.6,241819
E01026867,619568.8,309409
E01024076,619562.4,166801.5
E01022034,619495.5,216104.1
E01026861,619456,308471.9
E01029966,619438.2,243542.5
E01026737,619410.3,332603.5
E01026499,619399.4,326592.9
E01026869,619365.1,309771
E01029963,619361.6,245413.3
E01026915,619339.9,300511.8
E01026536,619338.3,316094.6
E01024494,619336.6,136717.2
E01024097,619314.5,167995.6
E01026882,619307,306005.4
E01026939,619298.4,292097.3
E01026796,619148.1,308876
E01026935,619063.1,280207.9
E01026918,619056.3,310374.6
E01026500,619044.2,326668.1
E01029994,619023.1,242727.2
E01026793,618991.6,309382.1
E01030004,618983.9,244641
E01026537,618969.3,316258.6
E01029998,618961.8,246086.7
E01026520,618959.6,313217.5
E01030221,618941.9,249458.5
E01024098,618916.1,167572.7
E01026781,618913.7,341966.5
E01024074,618887.1,166656.9
E01026914,618853.5,302219.3
E01024089,618837.5,153490.3
E01029996,618826.1,243027.4
E01029964,618788,245188.3
E01022050,618738.3,215870.2
E01021991,618708.4,227385.6
E01026940,618700.1,294196.7
E01029978,618693.1,242230.1
E01021974,618692.4,222995.5
E01024073,618682.8,166940.5
E01024528,618675.3,135567.7
E01030006,618662.8,244335.2
E01030005,618630.8,243971.7
E01030003,618621.4,244778
E01024095,618616.5,168074.4
E01021984,618587.6,217604
E01026916,618580.4,310552
E01026791,618574.1,309548.7
E01029981,618564.1,241727.3
E01029995,618551.6,243365.6
E01024088,618498.6,155207.5
E01022048,618496.3,215532
E01029999,618464.4,245491.4
E01029983,618413.9,242693.1
E01030001,618286.9,246312.7
E01024075,618278.8,166033.7
E01029979,618245.3,242213
E01024082,618169.8,167854.4
E01029958,618154.6,244604.8
E01026913,618152.4,300166.7
E01029982,618145.1,241797.6
E01026795,618144.9,308918.1
E01024080,618129.1,168279.2
E01024112,618117.7,160859.8
E01022049,618111.8,215551.6
E01030002,618082.8,244959
E01026792,618079.1,309558.1
E01026887,618078.1,282503.7
E01029990,618072.9,243915.5
E01024111,618018.4,161161.1
E01026917,618003.1,310286.3
E01026521,617991.1,313677.4
E01029961,617986.7,244318.8
E01029992,617937.9,243414.4
E01029997,617923.3,245669.6
E01022041,617920.8,216656.3
E01022040,617917.6,217438.5
E01024077,617914.8,165351.6
E01024113,617884.1,160049.4
E01024526,617864.4,135216.8
E01022027,617835.7,215091.4
E01021973,617810.1,222633.3
E01024083,617797.9,167750.4
E01022043,617774,215933.7
E01030000,617772.9,245276.8
E01024078,617738.3,168207.2
E01029991,617657.3,243060.9
E01026519,617649.7,314645
E01026924,617647,311450.3
E01026920,617646.1,298088.3
E01026535,617622.4,317571.8
E01029897,617572.7,236047.2
E01029980,617556.8,242304.2
E01022025,617548.7,214840.7
E01026518,617477,315157.5
E01022039,617472.3,217627.5
E01029960,617430.5,244818
E01026794,617419.2,309608.4
E01022042,617398.1,216236.9
E01024064,617368.1,167088.7
E01022026,617332.4,215199.6
E01022044,617320.4,216862.1
E01029989,617319.2,243860.3
E01029962,617283.3,244587
E01024110,617270.5,161778.5
E01030011,617220.4,246126.7
E01021970,617177.7,215648.4
E01026502,617157.6,327540.1
E01024081,617149.7,168126.6
E01030048,617145.1,263270.1
E01026562,617120.8,314259.9
E01026925,617109.4,310314.9
E01024079,617066.1,167769.2
E01026563,617022.3,315006.8
E01030007,617001.4,245287.2
E01026568,616992.3,313622.2
E01026731,616959.1,342461.9
E01022037,616946.8,214316.5
E01021968,616912.5,215243.9
E01026886,616840.3,288159.6
E01030010,616812.6,244874.5
E01022022,616765.8,215985
E01024527,616724.5,134999
E01026565,616706.4,314669.1
E01024118,616676.3,167670.7
E01022038,616671.9,214619.4
E01024490,616611.2,145184
E01022017,616593.3,220060.8
E01024047,616584.3,157976.9
E01021975,616573.9,216654.6
E01024045,616560.7,157060.6
E01026883,616542.9,307707.8
E01022036,616519.2,213905.6
E01024091,616494.6,159343.3
E01030057,616460.9,256948
E01022016,616435.4,218602
E01021969,616423.9,215394.2
E01029972,616416.8,243574.1
E01030008,616396.4,245927.3
E01026567,616388.3,314140.4
E01024066,616377.3,166870.6
E01024049,616347.9,157568.3
E01026771,616321.4,342997.2
E01024525,616319.4,134720.4
E01022024,616285.2,216209.3
E01021976,616254.4,216643.2
E01022023,616223.9,215811.8
E01026564,616210,314887.9
E01024550,616207.3,137654.3
E01026908,616196.1,305274.9
E01024117,616181.3,167998.2
E01029968,616170.6,243502.3
E01029959,616149.7,244279.3
E01024119,616136.9,167537.6
E01022032,616128.4,215084.2
E01029969,616113.1,242617.1
E01024547,616074.3,140921.6
E01024090,616059.9,158937.8
E01024522,616030.4,134230.7
E01030025,616008,245002.2
E01029973,615936.1,246495
E01024092,615836.5,158450.1
E01024065,615822.7,166707.8
E01026773,615819.7,342339.5
E01024046,615817.6,156573.6
E01022031,615811.5,215468.2
E01026923,615804.8,311908.5
E01029970,615765.7,243113
E01030009,615764.1,245487.8
E01024524,615761,134656.4
E01026770,615758.9,343255
E01026566,615711.3,314376.5
E01030033,615653.6,247117.5
E01029971,615651.6,242615.3
