Easting,Northing
523300,271600
584237,192762
394600,90200
276400,659500
535840,184940
316460,100340
414590,412430
535910,174145
411485,244820
472520,153940
334980,378250
330700,358300
418080,383280
338030,277435
528665,142666
517865,130980
364365,409192
346860,411545
348530,386450
513870,174935
528912,105559
475215,430420
239480,660450
514449,203409
533575,183155
321700,388800
531400,188200
531885,188193
258100,331400
554785,190575
503456,230355
597770,287950
547160,212340
544626,211232
431130,453860
617130,167450
530900,189200
515465,189460
515465,189461
513735,214175
509223,154518
586620,152910
539970,151380
451200,532700
284830,659110
424425,439115
513065,191325
388200,392100
464745,410680
539000,174455
502865,452220
380370,472660
505020,175780
507453,175848
507525,175815
507993,174516
508100,174400
504938,175645
454020,349303
509200,428800
377190,430660
434014,168545
510115,476660
343139,385212
344060,390650
249890,663600
486935,193053
384250,564535
394436,395017
394424,396454
526020,171160
493615,367350
255300,667600
533045,124630
223470,674320
525053,136663
543570,186500
411785,447640
359570,404870
345650,375825
564982,199165
362950,827610
220530,671840
334930,729870
257985,895356
377580,821800
615700,243800
371315,393146
231600,638500
515600,176400
452600,214400
503730,179898
270443,868656
313100,683300
266788,845473
264745,56570
451288,517708
334150,390230
193300,210700
243300,663000
254670,667950
327524,691647
383866,276299
375240,405343
406565,441310
343000,851600
586264,219241
398519,197581
556784,157738
352000,493200
254390,660230
570002,267267
524325,179180
523560,183240
523215,182785
536040,169945
486411,278038
519020,178120
519195,176740
245160,56715
365631,168890
327000,686900
259345,660760
518242,169561
275700,800400
524815,156585
540945,175632
383700,354400
240100,206500
290150,921740
212600,207200
242717,638224
229600,643600
286190,931600
425637,222699
449439,236125
621566,220753
341925,432650
340190,399210
461426,407872
525475,183590
460480,509555
508000,202000
240816,641088
246800,672900
562301,320076
502593,244819
510671,170307
590526,166148
548500,162900
524908,220250
321040,670248
530300,183000
329100,272400
532420,160120
404700,279590
434805,457130
438635,167200
449000,423600
529035,185150
528610,184700
325400,274100
375320,378380
266212,116910
322700,482540
273500,612300
334926,394240
264300,659975
310500,667100
271870,664230
450110,356138
493400,399600
628938,143992
376200,506670
339700,475630
516710,188335
448890,382923
450715,382470
176247,827123
330600,709600
568118,188190
258265,903922
459038,83308
572390,286293
257365,669490
201400,200400
288575,643660
347230,461720
279488,377857
267800,375200
501300,179800
272655,107950
418785,271610
286000,682600
220344,659215
276065,651235
360881,173377
332315,438160
354835,539725
257900,326900
531925,175855
205500,778300
176900,782600
411900,309175
199500,778600
318500,694400
232335,862562
413600,309930
413601,309930
236060,657970
313780,581800
370890,238625
498936,239106
537730,174890
506145,224080
414630,286990
476220,507880
327000,390700
429870,433352
540010,174230
351924,392469
554555,146175
154770,37220
154430,36640
589130,151850
265500,671900
350210,258860
459300,304100
516300,156840
344900,720670
541621,109830
538050,175950
354730,422710
538150,187530
252600,371600
238562,673180
560129,168857
370550,434375
444960,346960
399760,288440
452875,370825
636317,308423
583200,185790
518621,132520
536120,181111
497571,370888
539400,143800
484156,130905
224760,63695
477712,127718
393840,416280
533216,181641
413270,415375
314830,179550
314700,190100
317420,271620
263350,222620
305930,261360
276320,234520
262000,215500
269960,228550
293630,247360
256400,201200
320990,273030
300170,183060
321645,200783
318110,182200
250650,199445
269740,197540
297050,168900
271500,231000
288310,246410
299500,193800
431735,265251
433287,95517
432741,95804
259870,318010
518200,104400
261800,337900
532930,180190
532930,180200
257030,328630
398695,306535
462400,266680
497897,166062
448040,332185
344660,676300
385585,349423
300510,677090
280063,361693
257420,661000
390900,343633
212380,727460
454335,320455
401370,277600
534790,184260
462750,521990
225390,53920
367367,408594
467305,345910
654747,292890
383350,457900
500264,150030
371670,771750
369070,374620
354735,425535
210660,59765
536830,171370
521712,232758
317880,183520
502540,102180
482349,206620
557480,287460
337210,376920
491091,225024
351335,275045
278400,382000
510533,220534
509259,221604
204805,58070
387300,394172
303537,668663
306140,665300
335000,390200
335001,390200
335100,390500
335100,390600
340920,384909
357320,533460
363420,201845
392220,284670
298260,85720
298925,84156
433392,110147
258920,309720
336510,427420
539310,186875
391960,373600
285900,190900
285520,191420
338360,401490
521090,166510
478690,471360
547928,291110
609374,232220
425400,564310
541973,185716
574375,144725
634720,170550
485590,186512
396290,389320
451950,516860
527550,182000
304940,198960
429760,358445
429605,360230
256770,662870
229860,610030
539175,177865
439900,112600
451772,142833
274480,301320
444450,432712
449564,520702
488725,180745
359950,97980
394550,384790
439121,391345
537730,245500
390040,164540
323350,389800
628710,250380
228970,61260
417480,444050
335592,417083
564100,167900
529155,153291
307700,199500
305010,206000
447300,399600
262800,314100
453715,360850
453460,363235
488820,168370
457305,166647
241400,662000
259990,338530
259940,338560
420670,232690
631192,164122
420410,419480
611884,231722
528270,167600
329940,701510
484189,238029
510715,388740
167560,797060
500707,240510
351220,370780
386195,392940
190026,206183
495406,141335
255535,674455
521320,191925
367000,426680
317200,480200
532530,106930
388734,406089
475280,318740
378223,247510
634155,146600
383434,397524
381932,385387
384035,397505
384772,397873
380800,396200
384000,399000
480937,204765
207000,199400
322200,389300
266485,662835
377875,381410
275000,105100
349700,732300
359205,174540
371200,758000
167800,793000
343210,464170
525360,167880
377960,89090
334340,390650
334341,390650
446100,411160
397360,402034
431855,126160
275054,657175
542580,173240
326074,390621
522575,167710
303840,536170
541857,297838
532693,181683
591668,223925
474170,287425
427070,428250
420290,585385
275925,652365
376770,402235
463500,521800
404680,411849
416700,285500
520465,175770
256237,669560
539183,184927
333050,671690
373520,406670
339200,387300
337940,430260
253050,663340
388759,402986
575440,156115
575949,156206
575592,155374
258455,661570
507700,361400
467233,164110
257562,659695
252742,850189
401323,425845
286752,71200
505860,458450
347900,169200
288160,856010
365320,351940
454090,297350
377261,388782
526500,196000
536720,170470
354590,685150
321053,196956
330480,393914
331830,671850
532950,174570
275100,197500
609110,254880
247900,657080
329235,377737
298585,507910
446400,108585
480488,354510
448252,166830
447205,166730
528500,410390
544943,100926
544924,101489
342690,413140
521410,168670
585914,164965
552231,233584
181590,61770
528670,192220
536189,176950
536190,176950
508350,424080
316640,175980
252210,660150
279520,362260
436430,493200
386030,437660
534875,191030
424234,95184
474759,260486
436470,292190
530710,169720
438165,422830
534000,168200
421120,434290
313150,680830
212050,214710
519435,169545
623900,308400
568385,105672
402420,278910
561621,174435
519030,175410
288040,98910
488600,153725
513827,185570
461905,340845
366950,373943
387270,329930
457455,339195
428960,515750
535390,176005
453850,515050
478740,105766
530495,149170
628160,329740
261780,614260
536739,177100
536740,177100
424600,563820
544010,173040
517660,186220
571190,159960
399720,385330
399530,384750
564400,262700
330780,188245
479600,354300
452240,352810
426600,524360
395639,395516
266450,660450
271580,798450
359350,395320
234130,623160
311100,291300
485690,309030
369670,310730
185795,729888
559003,182828
516477,140455
259220,94430
527000,194800
373614,164533
336990,399330
532700,182500
396280,285890
413400,282300
338490,376740
582458,110693
336140,396560
341740,408435
545505,165875
353111,403973
553200,159407
652420,293140
651920,292205
432410,424430
451790,150830
353125,490165
450477,206341
514172,160973
539317,152862
539318,152862
363080,390030
526648,181251
288960,60600
530915,192745
463251,176664
430710,451460
349080,410740
207700,54100
357849,170655
297900,520610
361060,180930
253675,657725
518700,298900
355662,403959
461749,105835
535020,176745
534190,176330
435535,333413
422760,587150
197040,203550
199160,201130
318460,171420
296000,181700
534940,170510
315030,197570
262100,296150
425105,403275
179835,32360
242800,336500
147588,30599
178080,39810
395200,248030
311220,723133
544440,167550
416070,160370
462973,100090
253280,660140
356620,184380
296413,94160
573828,187585
534191,176330
514733,204274
567079,145272
258040,663200
257580,662840
256835,661410
255910,661350
536420,116148
544800,178820
179450,832950
364200,426200
392420,796710
334926,439587
592221,143279
372112,375381
247700,55300
244700,200700
211820,199080
536060,195545
535395,170720
392040,313990
271821,376557
306050,197670
551957,146480
258790,204080
351145,529900
311800,206100
306000,203800
262300,210800
329540,361180
275280,353610
412440,92400
558238,104813
293100,678190
294097,93483
330000,200400
303460,181459
401274,91089
455940,453650
302660,191350
258850,668640
525010,201359
391150,383730
339230,673770
353705,333763
346990,392160
261320,338820
479964,202758
588033,187015
623803,232649
529975,106779
353409,429177
257120,338410
256630,339190
263100,119320
408750,563475
406750,290960
177900,34710
390400,377390
464164,100275
526471,105551
333660,384060
248300,663420
248304,664230
247200,664800
257800,328000
306400,383100
403770,91485
276700,189600
255630,666490
446100,421940
446070,422730
445070,422180
232070,674430
293830,758100
376325,398733
474387,123571
307190,189800
504285,118595
555417,178156
531470,161520
532500,162600
524000,175100
563868,104381
565137,104606
234920,626210
235013,627024
237500,335000
426460,303190
309900,264800
282297,182125
184890,60405
524600,183200
528810,176740
308600,196600
591300,172100
258135,662555
516427,199832
464780,339478
313475,180450
581878,166263
637348,165700
242260,757890
503710,344210
468720,421900
580207,191029
523190,169280
538655,170235
573380,123515
389940,412650
199040,61460
574771,168157
505745,194597
534010,186170
641350,302250
403830,267580
452603,198878
532505,160980
471528,173813
471543,173742
471529,173813
437340,113520
460100,524960
461310,524200
457410,524220
470264,173430
528128,150600
389720,394750
389550,393250
358480,174550
170040,42009
530835,160785
525476,150730
238700,678290
621940,340720
308540,496490
349160,391420
315870,180950
306200,166200
232800,373800
300900,381200
311110,207470
376560,478960
336200,396100
518085,175155
518095,175165
496525,237375
401920,561565
324458,190233
372400,429800
368590,431600
347750,402560
552095,182030
343200,390700
587325,190445
332845,386675
272500,901980
326214,189069
395009,388824
473830,352570
271270,351410
551389,188476
394160,390804
435669,121581
322010,469470
381465,432245
311186,684546
442590,393020
398000,286600
227250,781030
540582,210496
535387,241247
508660,350580
470191,380318
470400,380200
535305,179785
261540,661920
422850,419950
330070,343820
346680,415630
451117,275937
404830,319120
404360,317420
350874,382676
355760,381390
489030,509180
473421,110816
459405,92920
459361,93622
388604,395550
459631,91977
591895,120543
538488,209762
434365,418635
520170,179280
351776,179546
413885,438047
528473,146330
629370,314050
346260,432000
262670,98535
334220,393030
356840,388600
278130,610150
289830,183400
243120,58720
489200,375300
373780,361520
549019,215064
476965,105985
535160,178370
466400,521400
520330,411590
534840,196230
395934,398653
503900,488300
489400,410800
532830,164380
309600,956020
252930,668280
347620,475200
515465,185710
516885,185290
614806,136811
414964,185199
224900,57000
212460,206090
532857,162747
439400,559600
548178,99131
442080,549555
503260,483940
303715,501060
496500,191030
302080,503400
461786,432235
533105,167610
605210,157242
447430,411130
404460,282670
354961,175871
543100,105490
451680,529540
381726,463478
533455,188800
346200,187600
333338,397085
515465,182960
284500,244000
534935,180940
500200,147100
352929,176374
458100,81900
447245,124965
450640,433700
593986,185044
423560,525730
435880,386953
546516,252219
561349,195022
508153,167563
364050,116190
374950,307660
277350,655530
410630,278390
525425,167190
526390,184075
410640,304635
444760,111000
330800,369000
330750,368890
523799,179989
399888,538705
477640,179762
539190,248150
415005,437445
453370,367760
533629,182251
615810,343050
521800,105300
455515,381195
552587,161510
591810,174950
539330,169320
349445,312960
264880,664370
287420,659840
386400,786200
256510,661930
546335,172640
313100,481960
460197,315255
249728,670900
533916,192420
556230,363215
517330,187060
272380,197460
398400,451400
429030,404340
552248,176588
322400,671100
224830,641330
506790,345420
486800,508120
568227,182276
381800,398910
383186,398515
497839,180157
413662,130153
407930,414150
478655,425715
459815,90504
538131,211803
392592,415198
524945,168635
449482,432038
