LSOA_CODE,Pupil absence rates,Absence 10
E01028233,11.5,7.13
E01010082,11.5,7.13
E01010083,11.5,7.13
E01021601,11.5,7.13
E01003239,11.5,7.13
E01017032,11.5,7.13
E01017157,11.5,7.13
E01014602,11.5,7.13
E01008414,11.4,7.068
E01008730,11.4,7.068
E01012077,11.4,7.068
E01005074,11.4,7.068
E01005106,11.4,7.068
E01005109,11.4,7.068
E01005165,11.4,7.068
E01005249,11.4,7.068
E01005264,11.4,7.068
E01005669,11.4,7.068
E01005722,11.4,7.068
E01006564,11.4,7.068
E01006632,11.4,7.068
E01025579,11.4,7.068
E01025582,11.4,7.068
E01010682,11.4,7.068
E01010961,11.4,7.068
E01011342,11.4,7.068
E01011443,11.4,7.068
E01011492,11.4,7.068
E01011619,11.4,7.068
E01012843,11.4,7.068
E01012866,11.4,7.068
E01012870,11.4,7.068
E01013774,11.4,7.068
E01013860,11.4,7.068
E01028064,11.4,7.068
E01016866,11.4,7.068
E01017037,11.4,7.068
E01017264,11.4,7.068
E01014650,11.4,7.068
E01008324,11.3,7.006
E01008380,11.3,7.006
E01008398,11.3,7.006
E01008428,11.3,7.006
E01008815,11.3,7.006
E01005253,11.3,7.006
E01005295,11.3,7.006
E01005614,11.3,7.006
E01005655,11.3,7.006
E01005681,11.3,7.006
E01006517,11.3,7.006
E01006518,11.3,7.006
E01006749,11.3,7.006
E01006757,11.3,7.006
E01025574,11.3,7.006
E01007907,11.3,7.006
E01008009,11.3,7.006
E01008122,11.3,7.006
E01010926,11.3,7.006
E01011323,11.3,7.006
E01011433,11.3,7.006
E01011679,11.3,7.006
E01012809,11.3,7.006
E01013632,11.3,7.006
E01026069,11.3,7.006
E01028056,11.3,7.006
E01028065,11.3,7.006
E01028232,11.3,7.006
E01028267,11.3,7.006
E01028276,11.3,7.006
E01009113,11.3,7.006
E01009752,11.3,7.006
E01009753,11.3,7.006
E01010071,11.3,7.006
E01015934,11.3,7.006
E01017031,11.3,7.006
E01017133,11.3,7.006
E01028553,11.3,7.006
E01014578,11.3,7.006
E01014646,11.3,7.006
E01015384,11.3,7.006
E01008390,11.2,6.944
E01008425,11.2,6.944
E01012307,11.2,6.944
E01005068,11.2,6.944
E01005096,11.2,6.944
E01005105,11.2,6.944
E01005186,11.2,6.944
E01005195,11.2,6.944
E01005612,11.2,6.944
E01006630,11.2,6.944
E01006662,11.2,6.944
E01006678,11.2,6.944
E01006750,11.2,6.944
E01006776,11.2,6.944
E01007573,11.2,6.944
E01007719,11.2,6.944
E01007761,11.2,6.944
E01010613,11.2,6.944
E01010924,11.2,6.944
E01010925,11.2,6.944
E01011325,11.2,6.944
E01011494,11.2,6.944
E01011671,11.2,6.944
E01011723,11.2,6.944
E01012789,11.2,6.944
E01012859,11.2,6.944
E01012907,11.2,6.944
E01012912,11.2,6.944
E01013878,11.2,6.944
E01013905,11.2,6.944
E01013959,11.2,6.944
E01026968,11.2,6.944
E01027151,11.2,6.944
E01028029,11.2,6.944
E01022024,11.2,6.944
E01002280,11.2,6.944
E01017038,11.2,6.944
E01028552,11.2,6.944
E01031342,11.2,6.944
E01014612,11.2,6.944
E01008391,11.1,6.882
E01008437,11.1,6.882
E01008456,11.1,6.882
E01008810,11.1,6.882
E01012061,11.1,6.882
E01005072,11.1,6.882
E01005248,11.1,6.882
E01005255,11.1,6.882
E01005606,11.1,6.882
E01005622,11.1,6.882
E01005666,11.1,6.882
E01005667,11.1,6.882
E01006598,11.1,6.882
E01006611,11.1,6.882
E01006633,11.1,6.882
E01006634,11.1,6.882
E01006647,11.1,6.882
E01006649,11.1,6.882
E01006720,11.1,6.882
E01006736,11.1,6.882
E01006778,11.1,6.882
E01018309,11.1,6.882
E01025575,11.1,6.882
E01025584,11.1,6.882
E01007757,11.1,6.882
E01007758,11.1,6.882
E01008010,11.1,6.882
E01008090,11.1,6.882
E01008123,11.1,6.882
E01010609,11.1,6.882
E01010820,11.1,6.882
E01010822,11.1,6.882
E01011295,11.1,6.882
E01011337,11.1,6.882
E01011426,11.1,6.882
E01011660,11.1,6.882
E01012788,11.1,6.882
E01012829,11.1,6.882
E01012917,11.1,6.882
E01013631,11.1,6.882
E01013910,11.1,6.882
E01026093,11.1,6.882
E01026115,11.1,6.882
E01026950,11.1,6.882
E01028001,11.1,6.882
E01028003,11.1,6.882
E01028067,11.1,6.882
E01028318,11.1,6.882
E01021969,11.1,6.882
E01021975,11.1,6.882
E01022022,11.1,6.882
E01022023,11.1,6.882
E01026597,11.1,6.882
E01026641,11.1,6.882
E01029980,11.1,6.882
E01029982,11.1,6.882
E01017103,11.1,6.882
E01017128,11.1,6.882
E01017235,11.1,6.882
E01017271,11.1,6.882
E01024742,11.1,6.882
E01031378,11.1,6.882
E01014579,11.1,6.882
E01014606,11.1,6.882
E01014689,11.1,6.882
E01014723,11.1,6.882
E01015266,11.1,6.882
E01008325,11,6.82
E01008331,11,6.82
E01008334,11,6.82
E01005097,11,6.82
E01005200,11,6.82
E01005233,11,6.82
E01005235,11,6.82
E01005266,11,6.82
E01006585,11,6.82
E01006673,11,6.82
E01006701,11,6.82
E01006728,11,6.82
E01018310,11,6.82
E01018313,11,6.82
E01018364,11,6.82
E01019197,11,6.82
E01007495,11,6.82
E01007496,11,6.82
E01007499,11,6.82
E01007572,11,6.82
